popularity,duration_ms_x,like,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_y,time_signature
50.0,204626.0,1.0,0.79,0.902,1.0,-5.757000000000001,1.0,0.0876,0.129,0.0,0.132,0.785,93.766,204627.0,3.0
43.0,204210.0,1.0,0.7909999999999999,0.9059999999999999,7.0,-2.705,1.0,0.0478,0.302,2.66e-06,0.0356,0.97,113.955,204211.0,4.0
58.0,155706.0,1.0,0.9520000000000001,0.758,7.0,-4.628,1.0,0.266,0.0181,6.58e-06,0.0447,0.8490000000000001,126.98100000000001,155707.0,4.0
59.0,203680.0,1.0,0.723,0.701,0.0,-7.3629999999999995,0.0,0.136,0.61,0.0,0.188,0.534,116.01899999999999,203680.0,4.0
62.0,154946.0,1.0,0.888,0.828,11.0,-3.535,0.0,0.0787,0.526,0.0,0.107,0.768,127.99600000000001,154947.0,4.0
55.0,140786.0,1.0,0.9179999999999999,0.767,7.0,-8.025,1.0,0.38,0.39899999999999997,0.0,0.0436,0.846,115.027,140787.0,4.0
66.0,204626.0,1.0,0.759,0.795,5.0,-7.507999999999999,0.0,0.203,0.5760000000000001,0.0,0.131,0.943,120.215,204627.0,4.0
48.0,186840.0,1.0,0.5720000000000001,0.695,9.0,-6.903,1.0,0.22,0.7020000000000001,0.0,0.29,0.701,125.522,186840.0,5.0
25.0,202749.0,1.0,0.647,0.862,6.0,-0.615,1.0,0.0883,0.39,0.0,0.20600000000000002,0.8690000000000001,90.13,202750.0,3.0
50.0,218095.0,1.0,0.82,0.857,9.0,-4.862,0.0,0.0756,0.0226,0.0163,0.0283,0.981,94.459,218095.0,3.0
41.0,206339.0,1.0,0.71,0.899,5.0,-0.51,1.0,0.0782,0.364,0.0,0.11800000000000001,0.963,170.96099999999998,206340.0,3.0
24.0,230717.0,1.0,0.6629999999999999,0.935,7.0,-2.86,1.0,0.0762,0.027000000000000003,0.0,0.107,0.828,135.007,230718.0,4.0
21.0,249495.0,1.0,0.665,0.9259999999999999,4.0,-2.8739999999999997,0.0,0.078,0.129,0.121,0.325,0.41600000000000004,134.02200000000002,249496.0,4.0
45.0,261160.0,1.0,0.7,0.863,7.0,-4.349,1.0,0.0775,0.262,0.0,0.078,0.634,93.01100000000001,261160.0,3.0
26.0,217142.0,1.0,0.73,0.6809999999999999,2.0,-10.350999999999999,0.0,0.17,0.33299999999999996,1.49e-05,0.0899,0.74,125.986,217143.0,4.0
52.0,200546.0,1.0,0.8590000000000001,0.82,4.0,-5.343,0.0,0.27399999999999997,0.522,0.0,0.0922,0.71,127.889,200547.0,4.0
32.0,337632.0,1.0,0.46799999999999997,0.976,1.0,-2.426,0.0,0.20600000000000002,0.33899999999999997,0.0,0.213,0.9009999999999999,119.96799999999999,337633.0,4.0
71.0,156400.0,1.0,0.787,0.826,0.0,-5.166,0.0,0.248,0.626,1.38e-06,0.209,0.8,179.97400000000002,156400.0,3.0
24.0,199600.0,1.0,0.578,0.85,7.0,-3.498,1.0,0.0763,0.24600000000000002,3.08e-06,0.214,0.941,101.46,199601.0,3.0
54.0,207386.0,1.0,0.888,0.7879999999999999,11.0,-4.065,0.0,0.331,0.12,0.0,0.0767,0.631,128.01,207387.0,4.0
22.0,238420.0,1.0,0.759,0.988,8.0,-0.55,1.0,0.0835,0.128,0.0,0.0358,0.963,135.006,238421.0,4.0
31.0,253937.0,1.0,0.513,0.887,7.0,-3.162,1.0,0.136,0.196,0.0,0.24,0.601,114.88600000000001,253938.0,4.0
62.0,195466.0,1.0,0.716,0.752,5.0,-4.468999999999999,0.0,0.034,0.0705,2.8899999999999998e-05,0.0789,0.373,127.97399999999999,195467.0,4.0
60.0,196653.0,1.0,0.7709999999999999,0.816,8.0,-4.0280000000000005,0.0,0.125,0.0852,0.0,0.151,0.737,120.111,196653.0,4.0
48.0,189506.0,1.0,0.828,0.8440000000000001,10.0,-3.447,0.0,0.0895,0.156,1.31e-06,0.0609,0.853,120.98899999999999,189507.0,4.0
52.0,267826.0,1.0,0.395,0.488,4.0,-8.91,1.0,0.215,0.259,0.0,0.107,0.0692,81.96799999999999,267827.0,4.0
34.0,235861.0,1.0,0.529,0.961,0.0,-2.381,1.0,0.222,0.0254,0.0,0.0544,0.914,115.932,235862.0,4.0
