id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5mhUPDWQH3s544WCsa0r9w,0.547,0.837,10.0,-7.085,1.0,0.0676,0.00112,0.000624,0.0937,0.571,135.47,245360.0,4.0
10ViidwjGLCfVtGPfdcszR,0.545,0.59,2.0,-6.693,1.0,0.0327,0.32,0.000389,0.124,0.125,111.739,306320.0,4.0
1Thv8uCYzyOFC7PME9J936,0.578,0.893,9.0,-3.615,0.0,0.0557,6.15e-05,0.00629,0.147,0.37,126.018,320173.0,4.0
0Yo8GhK9HEaeIZetPARrW9,0.46,0.799,9.0,-3.502,1.0,0.0573,0.124,0.000598,0.288,0.266,136.26,188120.0,4.0
3ZH2HcN2Q5jXrsnRznS98E,0.48,0.975,5.0,-3.142,0.0,0.0712,0.00485,0.000604,0.121,0.53,156.185,239173.0,4.0
36482hNESSwELpr9sS3NbE,0.764,0.62,5.0,-5.757,0.0,0.184,0.0107,5.13e-06,0.0968,0.52,129.989,241307.0,4.0
0qnqsfFYgBo0sPHM2JmfTq,0.56,0.859,4.0,-8.037,0.0,0.141,0.0136,0.521,0.672,0.113,124.659,387707.0,4.0
3FKmqPkNa8f1UIZuw3SSfV,0.768,0.446,7.0,-7.659,0.0,0.0292,0.52,0.000783,0.135,0.598,79.109,266307.0,4.0
6GyFP1nfCDB8lbD2bG0Hq9,0.507,0.729,11.0,-5.399,0.0,0.0393,0.0182,1.4e-06,0.0658,0.275,105.013,243960.0,4.0
5s0dPzEGFSuXlQxTrxIWYa,0.349,0.935,2.0,-5.027,1.0,0.0536,0.000335,0.802,0.333,0.129,173.928,251670.0,4.0
25R6UFrB9DKhEWkNhOLe5u,0.843,0.483,8.0,-7.168,0.0,0.0332,0.187,0.0,0.0867,0.96,95.551,244373.0,4.0
0gGjq7TPqnLPkP67lY4AOY,0.342,0.884,7.0,-3.44,0.0,0.102,0.0163,0.00438,0.101,0.122,139.332,272267.0,4.0
2d31CAmBHE7k2gqcijelyY,0.366,0.375,5.0,-11.413,1.0,0.0293,0.288,2.44e-05,0.229,0.215,84.898,107013.0,4.0
17hcFa5JZWpaSJ36Bi3nTw,0.482,0.798,7.0,-6.523,0.0,0.0454,0.0112,1.48e-06,0.854,0.134,110.067,216308.0,3.0
3bbtEl3UDzQn0ti5TqPtRH,0.359,0.822,0.0,-5.447,1.0,0.115,0.000289,1.21e-05,0.148,0.41,139.416,230120.0,4.0
0lEwO2YMAAMS9yA7mRm2Qj,0.176,0.479,7.0,-7.471,0.0,0.0282,0.654,0.591,0.13,0.0622,100.831,414747.0,4.0
6JR1bEuC7QtHKF2zLIbOyr,0.581,0.771,5.0,-6.387,0.0,0.0477,0.0154,0.0,0.33,0.592,144.955,204719.0,4.0
7sXxvOVFtMr31xj0kX9BFV,0.593,0.752,8.0,-6.617,0.0,0.0313,0.0841,0.00308,0.197,0.934,172.087,129907.0,4.0
6xy6jNeNTYwjnKTDzMyHw2,0.309,0.649,7.0,-8.994,1.0,0.035,0.0158,0.00595,0.367,0.321,166.915,306440.0,4.0
3JPMPDLIxizTViltvBQdJg,0.425,0.87,11.0,-2.785,1.0,0.044,0.0452,0.0,0.0811,0.367,177.42,251947.0,4.0
5MVFC8gIxpME3I14O2s2ir,0.73,0.929,1.0,-3.988,1.0,0.106,0.00274,0.23,0.0695,0.458,100.032,225600.0,4.0
2DX0WG5OGLQLaXb41Cq1IA,0.704,0.631,9.0,-12.299,0.0,0.0398,0.0346,0.0,0.159,0.798,123.286,295667.0,4.0
6RHHbAbyIcPpvS1dP3KUGq,0.45,0.356,10.0,-13.692,0.0,0.0337,0.269,0.515,0.0944,0.0807,179.937,297320.0,4.0
043bfUkTydw0xJ5JjOT91w,0.632,0.88,2.0,-4.051,1.0,0.0463,0.0144,0.0021,0.118,0.326,129.007,403493.0,4.0
2Atzk0W2RHeZw2oIiaBubK,0.497,0.727,6.0,-3.796,0.0,0.0412,0.00217,0.0428,0.124,0.185,73.978,280308.0,4.0
1p1FlZKTBBkI6618JN8J9B,0.489,0.142,2.0,-13.277,0.0,0.0378,0.925,0.000476,0.288,0.133,112.191,239539.0,3.0
0UrWr7Jnu1heq1o99ZwUd0,0.566,0.86,8.0,-7.533,1.0,0.0626,0.00834,0.0106,0.392,0.505,97.896,254584.0,4.0
2V65y3PX4DkRhy1djlxd9p,0.612,0.84,11.0,-3.145,0.0,0.0509,0.112,0.0,0.116,0.441,129.042,212862.0,4.0
0GyHND3iHS0jMz4dVLsC0N,0.594,0.961,6.0,-5.443,0.0,0.338,0.0463,0.0,0.853,0.525,113.126,209987.0,4.0
4OVMyfD4RCfXbtvRq82lvD,0.732,0.776,9.0,-4.036,0.0,0.0361,0.00393,0.0012,0.0932,0.902,108.991,205173.0,4.0
2aoo2jlRnM3A0NyLQqMN2f,0.438,0.805,8.0,-6.237,1.0,0.0624,0.00255,5.69e-05,0.0842,0.565,113.253,240800.0,4.0
0t5riyjMDECqO2tnVn9IVT,0.404,0.872,0.0,-5.95,0.0,0.0496,0.000134,0.0,0.344,0.347,170.041,197920.0,4.0
2RlgNHKcydI9sayD2Df2xp,0.388,0.338,10.0,-10.054,1.0,0.0328,0.652,3.72e-06,0.248,0.474,177.784,303373.0,4.0
0d28khcov6AiegSCpG5TuT,0.818,0.705,6.0,-6.679,1.0,0.177,0.00836,0.00233,0.613,0.772,138.559,222640.0,4.0
0VffaI2jwQknRrxpECYHsF,0.723,0.806,0.0,-4.989,1.0,0.0521,0.00666,0.876,0.276,0.55,124.976,410097.0,4.0
4EafUPyMqBF6hYLDttnDOu,0.726,0.64,6.0,-5.897,0.0,0.0301,0.169,0.0,0.33,0.739,82.503,233453.0,4.0
62yJjFtgkhUrXktIoSjgP2,0.457,0.793,9.0,-3.699,1.0,0.0634,0.114,0.000101,0.671,0.195,136.382,186813.0,4.0
3ibLBX13fWeowxbIFwygAN,0.45,0.886,10.0,-3.969,0.0,0.0376,5.77e-06,0.0102,0.0269,0.47,146.937,239427.0,4.0
20I8RduZC2PWMWTDCZuuAN,0.277,0.663,4.0,-8.821,0.0,0.0377,0.000409,0.00051,0.136,0.534,104.561,237027.0,4.0
0h1UKhueXm1YFLpQjzwv0E,0.716,0.752,5.0,-4.469,0.0,0.034,0.0705,2.89e-05,0.0789,0.373,127.974,195467.0,4.0
32IMcJ5pQ71rOFD0bIdneJ,0.434,0.884,7.0,-7.128,0.0,0.093,0.000728,0.00458,0.105,0.18,180.029,154960.0,4.0
4q7XSM6laraTPDglxDqn28,0.699,0.803,7.0,-6.387,1.0,0.0793,0.00757,1.62e-06,0.341,0.854,138.074,192521.0,4.0
0q6LuUqGLUiCPP1cbdwFs3,0.689,0.739,2.0,-5.81,1.0,0.026,1.51e-05,0.509,0.064,0.588,120.423,233867.0,4.0
1KQADAb1WscjfKMMF5JMFD,0.694,0.819,6.0,-2.762,1.0,0.0339,0.0141,0.000105,0.352,0.85,115.027,234000.0,4.0
35BjsiYKNkMA3JPZFXjgXt,0.407,0.988,9.0,-7.55,1.0,0.0784,9.66e-06,0.9,0.128,0.103,193.944,100653.0,4.0
