track_id,title,artist_id,popularity,duration_ms,like
5mhUPDWQH3s544WCsa0r9w,Human,0C0XlULifJtAgn6ZNCW2eu,63.0,245360.0,1.0
10ViidwjGLCfVtGPfdcszR,Home,7giUHu5pv6YTZgSkxxCcgh,68.0,306320.0,1.0
1Thv8uCYzyOFC7PME9J936,The Island - Pt. I (Dawn),7MqnCTCAX6SsIYYdJCQj9B,56.0,320173.0,1.0
0Yo8GhK9HEaeIZetPARrW9,Radioactive,53XhwfbYqKCa1cC15pYq2q,53.0,188120.0,1.0
3ZH2HcN2Q5jXrsnRznS98E,Storytime - Radio Edit,2NPduAUeLVsfIauhRwuft1,19.0,239173.0,1.0
36482hNESSwELpr9sS3NbE,A Little Party Never Killed Nobody (All We Got),3r17AfJCCUqC9Lf0OAc73G,61.0,241306.0,1.0
0qnqsfFYgBo0sPHM2JmfTq,"Right Here, Right Now",4Y7tXHSEejGu1vQ9bwDdXW,57.0,387706.0,1.0
3FKmqPkNa8f1UIZuw3SSfV,Solo Dolo (nightmare),0fA0VVWsXO9YnASrzqfmYu,36.0,266306.0,1.0
6GyFP1nfCDB8lbD2bG0Hq9,Midnight City,63MQldklfxkjYDoUE4Tppz,72.0,243960.0,1.0
5s0dPzEGFSuXlQxTrxIWYa,Everyday - Netsky Remix,4BTcOR2hEQZQQL5AMo5u10,50.0,251669.0,1.0
25R6UFrB9DKhEWkNhOLe5u,I Need A Dollar,0id62QV2SZZfvBn9xpmuCl,59.0,244373.0,1.0
0gGjq7TPqnLPkP67lY4AOY,Show Me A Sign,5zYJziKktyqWwmoAWXrShP,33.0,272266.0,1.0
2d31CAmBHE7k2gqcijelyY,Firefly,3izxIb8kNtirg63VhYPW8u,7.0,107013.0,1.0
17hcFa5JZWpaSJ36Bi3nTw,Worlds Collide (feat. Nicki Taylor),47mIJdHORyRerp4os813jD,56.0,216308.0,1.0
3bbtEl3UDzQn0ti5TqPtRH,Sunlight,5zYJziKktyqWwmoAWXrShP,42.0,230120.0,1.0
0lEwO2YMAAMS9yA7mRm2Qj,Skrillex Orchestral Suite By Varien - Bonus Track,5he5w2lnU9x7JFhnwcekXX,41.0,414746.0,1.0
6JR1bEuC7QtHKF2zLIbOyr,So Small - Radio Edit,5nkYRuiIHg2xXHFC8bfosJ,24.0,204718.0,1.0
7sXxvOVFtMr31xj0kX9BFV,Hit The Road Jack,1eYhYunlNJlDoQhtYBvPsi,59.0,129906.0,1.0
6xy6jNeNTYwjnKTDzMyHw2,Zombie,7t0rwkOPGlDPEhaOcVtOt9,68.0,306364.0,1.0
3JPMPDLIxizTViltvBQdJg,Cocaine - Original,20bAxKr0YrCvceZeLqs37e,45.0,251946.0,1.0
5MVFC8gIxpME3I14O2s2ir,Juicebox,48q2mPVwlKnlSaCx07i6Ta,30.0,225600.0,1.0
2DX0WG5OGLQLaXb41Cq1IA,I Will Survive - Remastered,6V6WCgi7waF55bJmylC4H5,54.0,295666.0,1.0
6RHHbAbyIcPpvS1dP3KUGq,Running Up That Hill,6RZUqkomCmb8zCRqc9eznB,57.0,297320.0,1.0
043bfUkTydw0xJ5JjOT91w,Don't You Worry Child (feat. John Martin),1h6Cn3P4NGzXbaXidqURXs,50.0,403493.0,1.0
2Atzk0W2RHeZw2oIiaBubK,Tommy's Theme - Original,4YWj8sohRDjL9deiuRvEEY,45.0,280308.0,1.0
1p1FlZKTBBkI6618JN8J9B,The Curse of the Sad Mummy,47mIJdHORyRerp4os813jD,50.0,239538.0,1.0
0UrWr7Jnu1heq1o99ZwUd0,Youth Of The Nation,6KO6G41BBLTDNYOLefWTMU,66.0,256240.0,1.0
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child (Radio Edit) [feat. John Martin],1h6Cn3P4NGzXbaXidqURXs,75.0,212862.0,1.0
0GyHND3iHS0jMz4dVLsC0N,D.A.N.C.E.,1gR0gsQYfi6joyO1dlp76N,46.0,209986.0,1.0
4OVMyfD4RCfXbtvRq82lvD,My Name Is Stain,0VJIBKdqJygrupAxpSTk7q,42.0,205173.0,1.0
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,776Uo845nYHJpNaStv1Ds4,72.0,240800.0,1.0
0t5riyjMDECqO2tnVn9IVT,Le Héros D'Un Autre,5WtRj3WwZ4Bq2oxLdi3BuH,10.0,197920.0,1.0
2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,7jefIIksOi1EazgRTfW2Pk,65.0,303373.0,1.0
